Playlist_name,User_id,Genre,Songs,Listens
Melancholy Moods,U005,K-Pop,"S056,S060,S010,S025,S035,S003,S040,S006,S027",4047
Golden Hour,U015,K-Pop,"S026,S029,S005,S009,S031,S053,S025,S022,S012",9190
New Music Friday,U005,Alternative,"S041,S038,S004,S020,S034,S003,S048,S045,S029,S012,S013",3911
Sad Girl Autumn,U008,Indie,"S011,S008,S040,S031,S043,S010,S032,S019,S005,S006",9422
Viral Tracks,U006,Indie,"S012,S054,S055,S027,S042,S032,S010,S033",6021
Lush Landscapes,U005,Afrobeats,"S012,S043,S050,S007,S044,S010,S018,S036,S046,S049,S016",6577
Night Shift,U011,Hip-Hop,"S055,S057,S050,S004,S031,S012,S053,S013,S033,S059",5067
Daily Mix Pop,U004,Afrobeats,"S035,S009,S039,S051,S031,S020,S006,S007",7428
Road Trip,U008,Jazz,"S059,S044,S007,S002,S032,S013,S021,S042,S033,S045,S048,S020",5023
Bedroom Pop,U018,R&B,"S005,S044,S028,S004,S032,S001,S056,S025,S014,S020,S036",4734
Post-Party Cooldown,U010,K-Pop,"S010,S019,S006,S052,S047",8613
Coffeehouse Chill,U014,Alternative,"S023,S029,S002,S049,S054",4974
Heavy Rotation,U006,Afrobeats,"S034,S028,S021,S014,S022",2624
Soothing Sounds,U014,Electronic,"S041,S024,S033,S035,S026,S058,S009,S030,S051",3551
City Lights,U003,Synthpop,"S030,S040,S058,S028,S027,S038,S023,S055,S017",1209
Indie Folk Mix,U003,Lo-Fi,"S032,S039,S041,S049,S029,S034",1314
Dancefloor Heat,U001,R&B,"S060,S026,S014,S042,S056,S023,S039,S054,S038,S020,S028,S016",7034
Indie Rock Revival,U011,Alternative,"S002,S030,S009,S019,S035,S032,S027,S004,S016,S008,S045,S014",205
Festival Season,U003,Afrobeats,"S049,S016,S019,S004,S045,S021",6839
Hits of the Decade,U010,K-Pop,"S043,S050,S019,S042,S052,S011,S008,S003,S025,S060,S032",8063
Nostalgia Trip,U003,Indie,"S040,S042,S043,S049,S006,S008,S048,S003,S056",4014
Top Picks,U015,Hip-Hop,"S009,S048,S056,S010,S016,S035,S005,S055,S047,S011",1763
Power Hour,U014,Latin,"S045,S028,S037,S048,S053,S006,S056",3893
Fresh Finds,U013,Country,"S053,S055,S013,S046,S003",5121
Breakup Ballads,U015,Pop,"S003,S015,S022,S017,S055",4264
Feel the Beat,U019,Alternative,"S054,S008,S056,S057,S013,S032,S055,S016,S014,S059,S023",8966
Tranquil Tones,U005,Indie,"S037,S039,S005,S059,S057,S027,S058,S040,S056,S018,S042",1316
Hype Mode,U012,Reggaeton,"S024,S032,S047,S038,S037",9135
Sonic Bloom,U013,Indie,"S035,S055,S021,S019,S013,S027,S025,S042,S011,S045,S048,S031",5374
Soulful Sundays,U010,Afrobeats,"S051,S011,S005,S012,S038,S036,S048,S037,S004",6922
Midnight Moves,U019,Lo-Fi,"S049,S009,S016,S011,S014",3614
Gen Z Gems,U008,Jazz,"S029,S004,S030,S039,S059,S042,S022,S008,S049,S060,S025",281
Alt Nation,U011,Hip-Hop,"S004,S045,S009,S051,S011,S047,S025,S056,S043,S003",8815
Late Night Loops,U004,Lo-Fi,"S017,S015,S047,S009,S042,S016,S034,S021",5814
Downtempo Dreams,U016,Jazz,"S059,S041,S044,S018,S009,S013,S005,S031,S058,S032",8427
Wavy Wednesdays,U014,Electronic,"S031,S040,S036,S028,S009,S002,S017,S051,S038",9339
Champagne Problems,U004,Alternative,"S017,S002,S018,S005,S060,S051,S026,S052,S054",4553
Femme Fatale,U013,Alternative,"S059,S036,S031,S055,S004,S010,S026,S017,S025,S060",7835
